http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	jrk_template	Phylum	Class	Order	Family	GENUS	COMMENT on genus	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Aquatic_habitat_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2912	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk03967	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Hyalosphaera		plant_pathogen	litter_saprotroph	mycoparasite_some_species		leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2913	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk03970	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Hyalotheles		plant_pathogen				unspecified_plant_pathogen						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2914	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04046	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Hypobryon		moss_symbiont			moss-associated	moss-associated					mosses,liverworts	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2915	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04089	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Hysteropsis												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2916	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04187	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Isomunkia												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2917	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04207	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Jaffuela		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2918	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04260	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Kabatia		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2919	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04384	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Kriegeriella		plant_pathogen				unspecified_plant_pathogen						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2920	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04393	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Kullhemia												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2921	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04402	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Kusanobotrys		sooty_mold	litter_saprotroph				leaf/fruit/seed,sugar-rich_substrates		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2922	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04455	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Lanatosphaera		lichen_parasite	fungal_decomposer				fungal_material,algal_material		non-aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2923	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04496	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Lazarenkoa		plant_pathogen				leaf/fruit/seed_pathogen			non-aquatic		Selaginella	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2924	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04511	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Lautitia		unspecified_saprotroph							marine			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2925	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04557	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Lembosiopeltis		foliar_endophyte	litter_saprotroph		foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2926	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04637	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Letendraeopsis		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2927	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04670	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Leveillella		foliar_endophyte	litter_saprotroph		foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2928	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04671	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Leveillina												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2929	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04716	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Limaciniopsis												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2930	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04728	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Lineolata		unspecified_saprotroph			no_endophytic_capacity				marine			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2931	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04735	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Linopeltis		plant_pathogen				unspecified_plant_pathogen						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2932	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04788	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Lophiella		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2933	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04790	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Lophionema		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2934	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04810	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Lucidascocarpa		unspecified_saprotroph							partly_freshwater_(partly_non-aquatic)			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2935	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04846	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Macowaniella		foliar_endophyte	litter_saprotroph		foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2936	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04883	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Maheshwaramyces		foliar_endophyte	litter_saprotroph		foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2937	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04884	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Maireella												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2938	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04887	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Malacaria		mycoparasite	fungal_decomposer				fungal_material					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2939	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04903	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Manginula		plant_pathogen				leaf/fruit/seed_pathogen						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2940	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04949	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Massariola												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2941	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk04973	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Maublancia		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2942	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05058	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Melioliphila		mycoparasite	fungal_decomposer				fungal_material					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2943	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05072	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Mendoziopeltis		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2944	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05138	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Microcyclella												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2945	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05147	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Microdothella												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2946	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05223	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Mitopeltis		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2947	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05260	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Monoblastiopsis		lichenized							non-aquatic			thallus_photosynthetic	perithecium_(hymenium_hidden,_narrow_opening)	closed			chlorococcoid	
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2948	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05269	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Monodictys		lichen_parasite	foliar_endophyte		foliar_endophyte		fungal_material,algal_material		non-aquatic			filamentous_mycelium	none	none				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2949	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05280	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Montagnella		plant_pathogen				leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2950	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05294	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Moriolomyces												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2951	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05335	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Muricopeltis		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2952	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05343	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Muroia		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2953	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05382	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Mycocryptospora												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2954	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05383	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Mycodidymella		plant_pathogen				leaf/fruit/seed_pathogen			non-aquatic		Aesculus	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2955	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05390	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Mycoglaena		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2956	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05409	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Mycoporellum		lichenized							non-aquatic			thallus_photosynthetic	perithecium_(hymenium_hidden,_narrow_opening)	closed			trentepohlioid	
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2957	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05411	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Mycoporopsis												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2958	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05428	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Mycothyridium												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2959	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05445	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Myriangiopsis												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2960	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05460	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Myriostigmella												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2961	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05478	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Mytilostoma												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2962	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05591	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Neocladophialophora		wood_saprotroph					wood		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2963	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05607	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Neodactylaria												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2964	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05668	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Neoovularia		plant_pathogen				leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2965	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05700	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Neoramularia		plant_pathogen				leaf/fruit/seed_pathogen						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2966	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05713	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Neosporidesmium		wood_saprotroph					wood		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2967	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05730	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Neottiosporina		litter_saprotroph					leaf/fruit/seed					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2968	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05736	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Neoventuria												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2969	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05903	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Omphalospora		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2970	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05906	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Oncopodiella		wood_saprotroph					wood		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2971	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05932	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Ophioirenina		plant_pathogen				unspecified_plant_pathogen						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2972	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk05943	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Ophiotrichum												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2973	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06215	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Parmulariella												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2974	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06221	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Paropodia												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2975	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06234	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Passeriniella		wood_saprotroph					wood	soft_rot	partly_aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2976	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06235	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Passerinula												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2977	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06244	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Pauahia		plant_pathogen				unspecified_plant_pathogen						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2978	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06269	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Peltaster		plant_pathogen				unspecified_plant_pathogen						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2979	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06270	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Peltasterella												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2980	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06284	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Pendulispora		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2981	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06314	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Perischizon		plant_pathogen				unspecified_plant_pathogen						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2982	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06321	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Peroschaeta												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2983	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06344	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Petrakina		foliar_endophyte	litter_saprotroph		foliar_endophyte		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2984	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06345	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Petrakiopeltis		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2985	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06380	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Phaeocyrtidula												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2986	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06409	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Phaeopeltosphaeria		wood_saprotroph					wood		non-aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2987	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06424	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Phaeosclera		litter_saprotroph					leaf/fruit/seed		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2988	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06430	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Phaeosperma												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2989	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06438	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Phaeostigme		plant_pathogen				leaf/fruit/seed_pathogen						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2990	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06444	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Phaeotomasellia												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2991	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06461	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Phanerococculus												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2992	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06493	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Philobryon		moss_symbiont			moss-associated	moss-associated						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2993	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06494	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Philonectria		mycoparasite	fungal_decomposer				fungal_material		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2994	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06525	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Phragmaspidium		unspecified_saprotroph										filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L2995	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk06541	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Phragmoscutella												filamentous_mycelium						
