http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	jrk_template	Phylum	Class	Order	Family	GENUS	COMMENT on genus	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Aquatic_habitat_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L12	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Dlhawksworthia		wood_saprotroph					leaf/fruit/seed		non-aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L13	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11053	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Hydeomyces		wood_saprotroph					wood					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L14	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11057	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Piniphoma		wood_saprotroph					wood					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L15	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11059	Ascomycota	Dothideomycetes	Pleosporales	Pleomonodictydaceae	Pleohelicoon		litter_saprotroph					leaf/fruit/seed		non-aquatic		Fagus	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L16	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11060	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Typhicola		litter_saprotroph					leaf/fruit/seed				Typha	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L17	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11063	Ascomycota	Dothideomycetes	Pleosporales	Shiraiaceae	Rubroshiraia		plant_pathogen				leaf/fruit/seed_pathogen			non-aquatic		bamboo	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L18	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Ascomycota	Dothideomycetes	Pleosporales	Sulcatisporaceae	Anthosulcatispora		wood_saprotroph					wood		non-aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L19	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11067	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Liua		wood_saprotroph					wood					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L20	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11069	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Discotubeufia		litter_saprotroph					leaf/fruit/seed				Brownea	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L21	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Acantharia		litter_saprotroph					leaf/fruit/seed		non-aquatic			filamentous_mycelium						
